published_at,headline,compound_score,sentiment_label
03-01-2000,How's Apple going to get out of its China jam?,0,Neutral
04-01-2000,"Jon Hamm on his new Apple TV+ show, 'Your Friends & Neighbors'",0.4767,Positive
05-01-2000,"American Century Companies Inc. Has $1.19 Million Stock Holdings in Apple Hospitality REIT, Inc. (NYSE:APLE)",0,Neutral
06-01-2000,"Not All Of Mag 7, But A 'Handful:' F/m Investments Selectively Adds Apple, Meta After Trump's Tariff Announcement",0,Neutral
07-01-2000,"Apple is left without a life raft as Trump’s China trade war intensifies, analysts warn",-0.6486,Negative
08-01-2000,iPhone 16 buyers aren't happy - and Apple may have a legal problem on its hands,-0.6367,Negative
09-01-2000,Tariff cuts impact Apple on both hardware and software fronts,-0.296,Negative
10-01-2000,"Despite Trump admin pressure, Apple is unlikely to move iPhone production to the US soon due to facility, labor, and supply chain gaps only Asia can fill now",0.2235,Positive
11-01-2000,Chaney Capital Management Inc. Sells 484 Shares of Apple Inc. (NASDAQ:AAPL),0.296,Positive
12-01-2000,"Hendershot Investments Inc. Sells 3,549 Shares of Apple Inc. (NASDAQ:AAPL)",0.296,Positive
13-01-2000,Benedict Financial Advisors Inc. Has $24.65 Million Stake in Apple Inc. (NASDAQ:AAPL),0,Neutral
14-01-2000,Apple Inc. (NASDAQ:AAPL) Shares Acquired by Sanchez Wealth Management Group,0.6597,Positive
15-01-2000,Empirical Finance LLC Has $127.23 Million Holdings in Apple Inc. (NASDAQ:AAPL),0,Neutral
16-01-2000,Apple Inc. (NASDAQ:AAPL) Stock Position Reduced by Windsor Capital Management LLC,0,Neutral
17-01-2000,Apple Inc. (NASDAQ:AAPL) Shares Sold by Thompson Investment Management Inc.,0.296,Positive
18-01-2000,Apple Inc. (NASDAQ:AAPL) Shares Purchased by Pacific Wealth Strategies Group Inc.,0.6597,Positive
19-01-2000,Apple Inc. (NASDAQ:AAPL) is Alliance Wealth Advisors LLC’s 6th Largest Position,0.4939,Positive
20-01-2000,Apple Inc. (NASDAQ:AAPL) Stock Position Lessened by Birch Hill Investment Advisors LLC,0,Neutral
21-01-2000,Apple Inc. (NASDAQ:AAPL) Stock Position Increased by Howland Capital Management LLC,0.2732,Positive
22-01-2000,Hobart Private Capital LLC Boosts Stock Holdings in Apple Inc. (NASDAQ:AAPL),0.3182,Positive
23-01-2000,"Dow Tumbles Over 1,000 Points As Nvidia, Apple And Tesla Decline: Greed Index Remains In 'Extreme Fear' Zone",-0.7096,Negative
24-01-2000,"Insignia Braided Nylon Apple Watch Band â Olive Green (42â49mm, All Series) $5.49 + Free Shipping (0 replies)",0.5106,Positive
25-01-2000,"Insignia Braided Nylon Apple Watch Band – Olive Green (42–49mm, All Series) $5.49 + Free Shipping",0.5106,Positive
26-01-2000,See a collection of homes inspired by Your Friends & Neighbors on Apple TV+,0.743,Positive
27-01-2000,"Apple is left without a life raft as Trump’s China trade war intensifies, analysts warn",-0.6486,Negative
28-01-2000,"RackSolutions、Mac mini (2024)を最大10台収納できる2Uサーバーラックマウント「2U HyperShelf for 10 Apple Mac Mini (M4, 2024)」を発売。",0,Neutral
29-01-2000,[Starts April 13] $100 Apple Gift Card + $10 Target eGift Card (Digital Delivery) $100,0.4404,Positive
30-01-2000,Apple quickly shipped 600 tons of iPhones to ‘beat’ the new tariffs,0,Neutral
31-01-2000,"Apple is left without a life raft as Trump’s China trade war intensifies, analysts warn",-0.6486,Negative
01-02-2000,Apple (NASDAQ:AAPL) Raised to “Hold” at Jefferies Financial Group,0,Neutral
02-02-2000,When—and by how much—will Apple raise iPhone prices in the US? And why a 'Made in America' iPhone is unlikely,0,Neutral
03-02-2000,"A 145% US tariff on China will hit Apple, and Ireland’s corporation tax",0,Neutral
04-02-2000,Apple airlifted 600 tons of iPhones to the U.S. to try to beat Trump’s tariffs as customers scramble to secure devices before possible price increases,0.34,Positive
05-02-2000,Stephen King: King of Horror 9-Movie Collection (4 UHD + 5 HD Digital Films) $14.99 @ Apple iTunes,-0.5719,Negative
06-02-2000,Apple supplier GSEO reports March revenue surge amid tariff uncertainty,-0.34,Negative
07-02-2000,What the tariff pause and China escalation mean for Apple shares - CNBC,0.296,Positive
08-02-2000,Apple celebrates iPhone 16 release day in one more country,0.5719,Positive
09-02-2000,Microsoft stock or Apple shares: Which is the world's largest company after Trump's tariffs?,0.296,Positive
10-02-2000,Why Trump’s China Tariffs Are Unlikely to Get Apple to Make iPhones in U.S.,0,Neutral
11-02-2000,"Jon Hamm stars in new series Your Friends & Neighbors, streaming today on Apple TV+",0.4767,Positive
12-02-2000,Apple and TSMC face challenges ahead of 2nm chip launch,0.0772,Positive
13-02-2000,Alexander Skarsgård Is A Complex MURDERBOT In First Trailer For Apple TV+'s Latest Sci-Fi Series,0,Neutral
14-02-2000,"Apple, Nvidia, Meta, and more Magnificent 7 stocks slide as the Nasdaq rally kicks into reverse",0.6361,Positive
15-02-2000,"Apple has few incentives to start making iPhones in U.S., despite Trump's trade war with China",0.6647,Positive
16-02-2000,"Nvidia, Apple, Tesla, GM, Microsoft, CarMax, U.S. Steel, and Stock Movers",0,Neutral
17-02-2000,"Apple Intelligence and a New Interface Might be Coming to watchOS 12, But Don’t Hold Your Breath!",0.3274,Positive
18-02-2000,"Earn 20x Everyday Rewards Points on Apple Gift Cards (Limit 10 Cards Per Day, In-Store Only) @ Woolworths",0.7184,Positive
19-02-2000,My Favorite Apple Arcade Series Gets a New Addition in May,0.4588,Positive
20-02-2000,"Apple MacBook Air M2 running out of stock, save $300 while you can!",0.5411,Positive
21-02-2000,Here Are The 8 New Emoji Apple Brought To Your iPhone With iOS 18.4,0,Neutral
22-02-2000,Here Are The 8 New Emoji Apple Brought To Your iPhone With iOS 18.4,0,Neutral
23-02-2000,Bank of America: iPhone Buyers Would Face 90% Cost Surge if Apple Moves Production to U.S.,0,Neutral
24-02-2000,Wayne Ma at The Information: ‘How Apple Fumbled Siri’s AI Makeover’,0,Neutral
25-02-2000,Here’s how Apple could prevent iPhone prices from going up due to tariffs,0.0258,Neutral
26-02-2000,Here's an Apple Studio Display alternative for the rest of us - the oddly-named Dough Spectrum Canvas offers 6K resolution,0,Neutral
27-02-2000,"Hit Apple TV+ series ‘Shrinking’ adds Jeff Daniels, two more stars to loaded Season 3 cast",0,Neutral
28-02-2000,How to Watch New Jon Hamm Series ‘Your Friends and Neighbors’ on Apple TV+,0.4767,Positive
29-02-2000,Jim Cramer on Apple Inc. (AAPL): Can Tariffs Derail the iPhone Giant’s Global Dominance?,-0.1027,Negative
01-03-2000,"Micro Center: 14.2"" Apple MacBook Pro (2023): M3 Pro Chip, 36GB Memory, 1TB SSD $1700 (Select Stores) + Free Store Pickup",0.5106,Positive
02-03-2000,"Apple Analyst Slashes Price Forecast On Weak iPhone Demand, AI Revenue Despite Less Tariff Risk",-0.5562,Negative
03-03-2000,"Apple shifting iPhone production to the U.S. is a ‘non-starter,’ even as Trump’s tariffs threaten to push prices to $3,000",-0.3818,Negative
04-03-2000,Apple and other companies could be exempted from Trump's tariffs,0,Neutral
05-03-2000,"Microcenter - Apple 14"" MacBook Pro with M3 Pro Chip (In-Store Only) $1699.99",0,Neutral
06-03-2000,Trump's 'instincts' could exempt Apple & others from tariffs,0.1027,Positive
07-03-2000,Apple Watch saves woman’s life by helping to catch her cancer early,-0.4939,Negative
08-03-2000,"watchOS 12 might get Apple Intelligence and new interface, but don’t count on it - 9to5Mac",0.2617,Positive
09-03-2000,"Apple has few incentives to start making iPhones in U.S., despite Trump's trade war with China",0.6647,Positive
10-03-2000,Apple TV+ is on sale for $3.99 per month,0,Neutral
11-03-2000,Amazon - FORCE FACTOR Modern Mushrooms Soft Chews (Caramel Apple) $8.10,0.1779,Positive
12-03-2000,Reviewers Say This Rugged GPS Watch Outperforms The Apple Watch,0,Neutral
13-03-2000,Total Wireless 128GB Apple iPhone 13 + 90-Days Service (New Customers w/ Port-In) $165 (ID Verification Req.),0,Neutral
14-03-2000,Canned Sour Apple Martinis - The Funkin Apple Sour Martini is Nitrogen-Infused (TrendHunter.com),0,Neutral
15-03-2000,How Apple Fumbled Siri’s AI Makeover,0,Neutral
16-03-2000,Apple TV+ Is Down to $2.99/Month For Three Months With This Limited-Time Deal,0,Neutral
17-03-2000,"Get Apple TV+ for $3/Month — Catch Up on Severance, The Studio and More",0,Neutral
18-03-2000,Apple Watch Could Get Apple Intelligence And A visionOS-Inspired Redesign,0.4767,Positive
19-03-2000,Apple Has Trade War Lessons for TSMC,-0.5994,Negative
20-03-2000,Craig Federighi frees Apple engineers to use third-party LLMs to build Siri features,0.296,Positive
21-03-2000,Apple AirPods Max: Low-latency & lossless support,0.4019,Positive
22-03-2000,Apple Ships 600 Tons of iPhones from India to Avoid U.S. Tariff Hikes,-0.296,Negative
23-03-2000,watchOS 12 might refresh the Apple Watch’s interface and bring some Apple Intelligence features to your wrist,0.4767,Positive
24-03-2000,"Apple has few incentives to start making iPhones in U.S., despite Trump’s trade war with China",0.6647,Positive
25-03-2000,"Apple has few incentives to start making iPhones in U.S., despite Trump's trade war with China",0.6647,Positive
26-03-2000,Apple airlifted 600 tons of iPhones to the U.S. to try to beat Trump’s tariffs as customers scramble to secure devices before possible price increases,0.34,Positive
27-03-2000,Apple airlifted 600 tons of iPhones to the U.S. to try to beat Trump’s tariffs as customers scramble to secure devices before possible price increases,0.34,Positive
28-03-2000,YMMV: 6-Count 4-Oz Amazon Brand Happy Belly Cinnamon Apple Sauce $1.34 + Free Shipping w/ Prime or on $35+,0.8271,Positive
29-03-2000,"Apple MacBook Pro: 14"", M3 Pro, 36GB RAM, 1TB SSD $1699.99",0,Neutral
30-03-2000,"Apple airlifts iPhones out of India to avoid Trump tariffs, report says",-0.296,Negative
31-03-2000,Jim Cramer on Apple (AAPL): “I’m Not Gonna Tell You It’s Good. It’s Bad”,0.4404,Positive
01-04-2000,"Apple airlifts iPhones out of India to avoid Trump tariffs, report says",-0.296,Negative
02-04-2000,"Apple Gear Deals: iPhone Cases 50% Off, Mac Accessories $100 Off",0,Neutral
03-04-2000,'Murderbot' declares 'humans are idiots' in 1st tantalizing trailer for Apple TV's upcoming sci-fi series,0,Neutral
04-04-2000,"Trump might use his ""instincts"" to exempt Apple from the 125% tariff on U.S. imports from China",0.1027,Positive
05-04-2000,EU to announce verdict in Apple & Meta antitrust cases in coming weeks,0.1531,Positive
06-04-2000,"Apple has few incentives to start making iPhones in US, despite Trump's trade war with China",0.6647,Positive
07-04-2000,"Latest iOS 19 leaks, ‘bold’ iPhone design changes, Apple tariffs response",0,Neutral
08-04-2000,"Apple has few incentives to start making iPhones in U.S., despite Trump's trade war with China - Yahoo Finance",0.6647,Positive
09-04-2000,Apple quickly shipped 600 tons of iPhones to ‘beat’ the new tariffs,0,Neutral
10-04-2000,Apple Suddenly Re-Releases AirPods Max Firmware To Fix Lossless Issue. How To Upgrade,0,Neutral
11-04-2000,Apple integrates Apple Intelligence-powered Writing Tools into new iWork updates,0,Neutral
12-04-2000,Will Apple Push More macOS-VisionOS Integration With M5 MacBook Pro?,0,Neutral
13-04-2000,Apple & Michigan State University partner to boost US manufacturing skills,0.4019,Positive
14-04-2000,Markets Shudder: Apple Leads Magnificent 7 Big Tech Stocks’ $1 Trillion Crash (Live Updates),0.296,Positive
15-04-2000,Markets Shudder: Apple Leads Magnificent 7 Big Tech Stocks’ $1 Trillion Crash (Live Updates) - Forbes,0.296,Positive
16-04-2000,Apple loses $250B market value as tariffs tank tech stocks,0.0258,Neutral
17-04-2000,Apple Suppliers Tumble as Tariffs Hit iPhone Supply Chain,0,Neutral
18-04-2000,"Top Stock Movers Now: Apple, Target, Lamb Weston, and More",0.2023,Positive
19-04-2000,Will Trump tariffs make Apple iPhones more expensive?,0,Neutral
20-04-2000,Apple is leading the ‘Magnificent Seven’ toward a $1 trillion one-day wipeout,0,Neutral
21-04-2000,"How Apple might lessen the impact of Trump tariffs, according to analyst",0,Neutral
22-04-2000,Apple loses $250B market value as tariffs tank tech stocks,0.0258,Neutral
23-04-2000,Will Trump tariffs make Apple iPhones more expensive?,0,Neutral
24-04-2000,Juno Temple Will Star In Apple TV's New Drama Show 'The Husbands',0,Neutral
25-04-2000,Today in Apple history: ‘Magical’ first iPad debuts in stores,0,Neutral
26-04-2000,Will Trump tariffs make Apple iPhones more expensive?,0,Neutral
27-04-2000,CNBC+ streaming service expands to the Apple TV and Roku,0.1027,Positive
28-04-2000,Apple patents motion-predicting technology that can count reps and identify exercises during a workout,0,Neutral
29-04-2000,Apple Updates iWork Apps With New iOS 18.4 and macOS 15.4 Features,0,Neutral
30-04-2000,Tuta Mail could soon be your default iOS mail app – but only after filing a complaint against Apple,-0.4215,Negative
01-05-2000,"Apple Martin Steals From Mom Gwyneth Paltrow’s ‘Archive Closet’ All The Time, But Says Her Mom Always Has Two Comments About It",-0.2846,Negative
02-05-2000,"Top Stock Movers Now: Apple, Target, Lamb Weston, and More",0.2023,Positive
03-05-2000,Apple Watch’s Silent Mode Won’t Mute Your Alarms Anymore—Here’s How,-0.2732,Negative
04-05-2000,AirPods Max finally get the great free upgrade Apple promised,0.872,Positive
05-05-2000,"Apple, 2 Other Stocks Are ‘Worst Positioned’ in Tech Hardware for Tariffs",0,Neutral
06-05-2000,Apple still dreams of an iPhone with haptic buttons,0.4019,Positive
07-05-2000,Apple loses $300B in market value as Trump tariffs threaten China-heavy supply chain,-0.3612,Negative
08-05-2000,Apple has its biggest stock drop in five years because of Trump’s tariffs,-0.2732,Negative
09-05-2000,Apple updating iWork apps with new iOS 18.4 features,0,Neutral
10-05-2000,"Apple Plunges 9 Percent, Leading a Tech Sell-Off",0,Neutral
11-05-2000,"Wedbush: Apple, Tesla, Nvidia in Crosshairs as Tariff Fallout Hits Markets",0,Neutral
12-05-2000,"Apple MacBook Pro: 14.2"", M4 Pro Chip, 24GB RAM, 512GB SSD $1699.99 (6 replies)",0,Neutral
13-05-2000,"Apple MacBook Pro: 14.2"", M4 Pro Chip, 24GB RAM, 512GB SSD $1699.99",0,Neutral
14-05-2000,"Apple, Amazon, Nvidia and other U.S. big tech stocks hit by tariffs",0.1779,Positive
15-05-2000,"Market Analysis: Apple And Competitors In Technology Hardware, Storage & Peripherals Industry",0,Neutral
16-05-2000,"Apple gets a hard hit from ""Liberation Day"" tariffs",-0.1027,Negative
17-05-2000,"These Stocks Are Moving the Most Today: Apple, Nvidia, Tesla, Nike, Target, Bank of America, RH, Lamb Weston, and More",0,Neutral
18-05-2000,Customize your wall with 10 of Govee’s Apple Home-ready Mini Panel Lights for $70 (Reg. $100),0,Neutral
19-05-2000,"Stock Market Today: Dow Plunges 1,500 Points On Trump Tariffs; Apple Down 9%, But T-Mobile, McDonald's Buck Drop (Live Coverage)",-0.3919,Negative
20-05-2000,Apple loses $250bn in market value from Trump tariff hit,0.0258,Neutral
21-05-2000,Top 6 Siri tricks and features (without Apple Intelligence),0.0772,Positive
22-05-2000,New Low Price: Add Ports Galore to Your Apple Mac Mini With Satechi's $100 Hub,-0.2732,Negative
23-05-2000,"9to5Mac Daily: April 3, 2025 – How Trump’s tariffs will impact Apple",0,Neutral
24-05-2000,Apple Leads Magnificent 7 Stocks Lower as 'Higher Than Expected' Trump Tariffs Land,0.4019,Positive
25-05-2000,Apple has its biggest stock drop in five years because of Trump’s tariffs,-0.2732,Negative
26-05-2000,What if Your CX Team Operated Like Apple? It Shouldn’t,0.3612,Positive
27-05-2000,Apple leads Magnificent 7 stock drop amid Trump tariffs,0.4215,Positive
28-05-2000,"Trump Tariffs Take Down Apple, PC, Consumer Electronics Stocks",0,Neutral
29-05-2000,Apple Leads Magnificent 7 Stocks Lower as 'Higher Than Expected' Trump Tariffs Land,0.4019,Positive
30-05-2000,RollerCoaster Tycoon and More Games Now Available on Apple Arcade,0,Neutral
31-05-2000,Apple TV+ has yet another prestige new series coming very soon,0,Neutral
01-06-2000,Four styles of NewWays’ Milanese Loop Apple Watch Band fall as low as $20 Prime shipped,-0.2732,Negative
02-06-2000,Apple has its biggest stock drop in five years because of Trump’s tariffs,-0.2732,Negative
03-06-2000,"Apple a ‘gangster’ company which finds crime pays, says Epic Games CEO - 9to5Mac",-0.5423,Negative
04-06-2000,The Husbands: Juno Temple Set to Lead New Apple TV+ Comedy-Drama,0,Neutral
05-06-2000,Relentless hackers abandon Windows to target your Apple ID,-0.4019,Negative
06-06-2000,Apple's first iOS 18.5 beta makes it easier to get the old-style Apple Mail back,0.4215,Positive
07-06-2000,Apple is getting screwed by Trump's tariffs,-0.4939,Negative
08-06-2000,Mom charged after her 5-year-old son dies after drinking apple juice laced with meth: police,-0.2023,Negative
09-06-2000,Apple shares hammered after Trump tariff announcement,0.296,Positive
10-06-2000,An Apple Pencil patent reveals future Adjustable features to advance writing & drawing by adding Magnetorheological Fluid to the tip & more,0,Neutral
11-06-2000,Apple stock drops almost 10% on market open in reaction to new tariffs,0,Neutral
12-06-2000,Epic Games CEO basically called Apple & Google 'gangsters',0,Neutral
13-06-2000,CNBC+ Now Available on Apple TV,0,Neutral
14-06-2000,Samsung may soon make a ton of money on another Apple product,0,Neutral
15-06-2000,"Amazon - KIND Breakfast Protein Bars, Apple Cinnamon, 6 Count $2.46",0.7034,Positive
16-06-2000,"US tech, retail stocks lead rout after Trump's tariff blow; Apple shares down 9%, Amazon 7%",0.4404,Positive
17-06-2000,Tech stocks sink after Trump tariff rollout — Apple heads for worst drop in 5 years,-0.7351,Negative
18-06-2000,"Trump tariff stock market crash: Apple, Amazon, Nike, Shopify, Tesla, Walmart shares plummet",0.0516,Positive
19-06-2000,Apple production hubs – and Apple stock – hit by U.S. import tariffs,0,Neutral
20-06-2000,"""This Could Blow Up Apple"" iPhone Maker Plummets; Most Impacted By Tariffs Among Mag7s",0,Neutral
21-06-2000,Apple loses $250bn in market value from Trump tariff hit,0.0258,Neutral
22-06-2000,Tech stocks sink after Trump tariff rollout — Apple heads for worst drop in 5 years,-0.7351,Negative
23-06-2000,Kuo: Apple Can Reduce Impact of Trump's Massive Tariffs in Five Ways,0,Neutral
24-06-2000,Apple To $250? Here Are 10 Top Analyst Forecasts For Thursday,0.2023,Positive
25-06-2000,"Trump Tariffs Take Down Apple, PC, Consumer Electronics Stocks",0,Neutral
26-06-2000,"Apple And Google Run ‘Gangster-Style Businesses,’ Claims Epic Games CEO Tim Sweeney, Believing That Large Technology Firms Will Take The Illegal Route Unless There Are Stricter Laws",-0.5574,Negative
27-06-2000,Gwyneth Paltrow’s Apple Martin Titty Armpit Fold of the Day,0,Neutral
28-06-2000,"Today’s Hot Deals: Magnetic Cable Ties, Pan/Tilt Smart Security Camera, Apple MacBook Air, Tactical Nail Clipper, and MORE!",0.6588,Positive
29-06-2000,Apple releases new AirPods Max firmware with lossless audio support,0.4019,Positive
30-06-2000,Analyst Says Apple (AAPL) Is Relatively Well-Positioned for Tariffs,0,Neutral
01-07-2000,Apple Facing $5 Billion Class Action Lawsuit Over its eBooks Sales,-0.2263,Negative
02-07-2000,"Liberation Day Selloff: Apple, Nike Stocks Plunge Premarket; Citi Warns on Chip Stock Risk",-0.3612,Negative
03-07-2000,'First airline in Asia:' Air India integrates Apple AirTag with its baggage tracking system,0,Neutral
04-07-2000,Apple Relaunches AirPods Max Firmware Following iOS 18.4 Bug,0,Neutral
05-07-2000,Apple is getting screwed by Trump's tariffs,-0.4939,Negative
06-07-2000,"RH Posts Downbeat Earnings, Joins Apple, Tesla, Nvidia And Other Big Stocks Moving Lower In Thursday's Pre-Market Session",-0.296,Negative
07-07-2000,Apple is getting screwed by Trump's tariffs,-0.4939,Negative
08-07-2000,Apple CEO Tim Cook Sells Over $24 Million Apple Stock,0,Neutral
09-07-2000,How Apple Calendar Can Simplify Your Life in 3 Easy Steps,0.4404,Positive
10-07-2000,"Dow Jones Futures Plunge 1,200 Points On Trump Tariffs; Apple, Nvidia, Tesla Dive",0,Neutral
11-07-2000,How and where Trump's new tariffs affect Apple,0,Neutral
12-07-2000,"Dow Jones Futures Dive On Huge Trump Tariffs; Tesla, Apple, Nvidia, Taiwan Semi, Palantir Sell Off",0.3182,Positive
13-07-2000,"OLED iPad mini display prototypes sent to Apple, says leaker",0,Neutral
14-07-2000,Play Katamari Damacy and 5 More Games on Apple Arcade Now,0.34,Positive
15-07-2000,"Dow Jones Futures Dive On Huge Trump Tariffs; Tesla, Apple, Nvidia, Taiwan Semi, Palantir Sell Off",0.3182,Positive
16-07-2000,Apple Stock Tumbles on Tariff Shock. Why It’s the Hardest Hit of the Mag 7,-0.3818,Negative
17-07-2000,Rare deals hit Nomad’s metal link Apple Watch bands at up to 40% off (But only until noon ET today),0,Neutral
18-07-2000,Apple leads decline in tech stocks after Trump announces sweeping new tariffs,0,Neutral
